CURSO LECTIVO,CODIGO,NOMBRE,REGION,CIRES,PR,CAN,DIS,PROVINCIA,CANTON,DISTRITO,POBLADO,,
2014,5072,COLEGIO DE GRAVILIAS,DESAMPARADOS,01,1,03,12,SAN JOSE,DESAMPARADOS,GRAVILIAS,GRAVILIAS,,
2014,3984,COLEGIO NUESTRA SEÑORA,DESAMPARADOS,01,1,03,01,SAN JOSE,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,,
2014,3988,LICEO SAN ANTONIO,DESAMPARADOS,01,1,03,05,SAN JOSE,DESAMPARADOS,SAN ANTONIO,SAN ANTONIO,,
2014,6108,I.E.G.B. REPÚBLICA DE PANAMÁ,DESAMPARADOS,01,1,03,05,SAN JOSE,DESAMPARADOS,SAN ANTONIO,SAN ANTONIO,,
2014,,SISTEMA EDUCATIVO BENDITO JESUS,DESAMPARADOS,01,1,03,05,SAN JOSE,DESAMPARADOS,SAN ANTONIO,URBANIZACION LAS ACA,,
2014,3985,LICEO SAN MIGUEL,DESAMPARADOS,02,1,03,02,SAN JOSE,DESAMPARADOS,SAN MIGUEL,SAN MIGUEL,,
2014,3995,LICEO JOAQUIN GUTIERREZ MANGEL,DESAMPARADOS,02,1,03,04,SAN JOSE,DESAMPARADOS,SAN RAFAEL ARRIBA,SAN RAFAEL ARRIBA,,
2014,5870,UNIDAD PEDAGÓGICA SOTERO GONZÁLEZ B,DESAMPARADOS,02,1,03,03,SAN JOSE,DESAMPARADOS,SAN JUAN DE DIOS,SAN JUAN DE DIOS,,
2014,5819,UNIDAD PEDAGÓGICA JOSÉ MARÍA ZELEDÓ,DESAMPARADOS,02,1,03,02,SAN JOSE,DESAMPARADOS,SAN MIGUEL,EL LLANO SAN MIGUEL,,
2014,6027,LICEO HIGUITO,DESAMPARADOS,02,1,03,02,SAN JOSE,DESAMPARADOS,SAN MIGUEL,HIGUITO,,
2014,,SAN MIGUEL ARCANGEL,DESAMPARADOS,02,1,03,02,SAN JOSE,DESAMPARADOS,SAN MIGUEL,SAN MIGUEL,,
2014,5660,TELESECUNDARIA LÍNEA VIEJA,GUAPILES,05,7,02,06,LIMON,POCOCI,COLORADO,LÍNEA VIEJA,,
2014,,COLEGIO BILINGÜE SAN FRANCISCO DE A,GUAPILES,01,7,02,01,LIMON,POCOCI,GUAPILES,SAN FRANCISCO,,
2014,3989,LICEO DE ASERRI,DESAMPARADOS,03,1,06,01,SAN JOSE,ASERRI,ASERRI,EL COLEGIO,,
2014,3991,LICEO SAN GABRIEL DE ASERRI,DESAMPARADOS,03,1,06,04,SAN JOSE,ASERRI,SAN GABRIEL,SAN GABRIEL,,
2014,4142,EXPERIMENTAL BILINGÜE DE POCOCÍ,GUAPILES,01,7,02,01,LIMON,POCOCI,GUAPILES,GUÁPILES,,
2014,5814,LICEO VUELTA DE JORCO,DESAMPARADOS,03,1,06,03,SAN JOSE,ASERRI,VUELTA DE JORCO,VUELTA DE JORCO,,
2014,6134,LICEO BRAULIO ODIO HERRERA,DESAMPARADOS,03,1,06,06,SAN JOSE,ASERRI,MONTERREY,MONTERREY CENTRO,,
2014,,SANTA MARIA TECHNICAL SCHOOL,DESAMPARADOS,03,1,06,01,SAN JOSE,ASERRI,ASERRI,POAS,,
2014,,GREEN VALLEY,GUAPILES,01,7,02,01,LIMON,POCOCI,GUAPILES,NUMANCIA,,
2014,3990,LICEO DE FRAILES,DESAMPARADOS,04,1,03,06,SAN JOSE,DESAMPARADOS,FRAILES,FRAILES,,
2014,6096,I.E.G.B. JUAN CALDERÓN VALVERDE,DESAMPARADOS,05,1,12,03,SAN JOSE,ACOSTA,PALMICHAL,CHIRRACA,,
2014,6135,I.E.G.B. LA CRUZ,DESAMPARADOS,05,1,12,02,SAN JOSE,ACOSTA,GUAITIL,LA CRUZ,,
2014,4144,COLEGIO DE JIMÉNEZ,GUAPILES,01,7,02,02,LIMON,POCOCI,JIMENEZ,JIMÉNEZ,,
2014,,VALLE DEL SOL,GUAPILES,01,7,02,01,LIMON,POCOCI,GUAPILES,RÍO VERDE GUÁPILES,,
2014,3993,LICEO DE SABANILLAS,DESAMPARADOS,06,1,12,05,SAN JOSE,ACOSTA,SABANILLAS,SABANILLAS,,
2014,5121,LICEO RURAL LAS CEIBAS,DESAMPARADOS,06,1,12,04,SAN JOSE,ACOSTA,CANGREGAL,EL LLANO DE LA MESA,,
2014,6569,LICEO RURAL ARANJUEZ,PUNTARENAS,02,6,01,02,PUNTARENAS,PUNTARENAS,PITAHAYA,ARANJUEZ,,
2014,3982,LICEO MONSEÑOR RUBEN ODIO HERRERA,DESAMPARADOS,07,1,03,01,SAN JOSE,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,,
2014,,CAFORE ANTONIO JOSE OBANDO CHAN,PUNTARENAS,01,6,01,01,PUNTARENAS,PUNTARENAS,PUNTARENAS,EL ROBLE,,
2014,5735,UNIDAD PEDAGÓGICA LA VALENCIA,DESAMPARADOS,07,1,03,11,SAN JOSE,DESAMPARADOS,SAN RAFAEL ABAJO,LA VALENCIA,,
2014,4120,LICEO ANTONIO OBANDO CHAN,PUNTARENAS,01,6,01,08,PUNTARENAS,PUNTARENAS,BARRANCA,LOS ALMENDROS,,
2014,3983,LICEO DE CALLE FALLAS,DESAMPARADOS,07,1,03,01,SAN JOSE,DESAMPARADOS,DESAMPARADOS,CALLE FALLAS,,
2014,4122,LICEO DE CHIRA,PUNTARENAS,03,6,01,13,PUNTARENAS,PUNTARENAS,CHIRA,JICARO,,
2014,3987,LICEO ROBERTO GAMBOA VALVERDE,DESAMPARADOS,07,1,03,11,SAN JOSE,DESAMPARADOS,SAN RAFAEL ABAJO,SAN RAFAEL ABAJO,,
2014,6115,LICEO SAN RAFAEL,GUAPILES,01,7,02,07,LIMON,POCOCI,LA COLONIA,SAN RAFAEL,,
2014,5707,COLEGIO ACADEMICO DE COSTA DE PAJAR,PUNTARENAS,03,6,01,06,PUNTARENAS,PUNTARENAS,MANZANILLO,COSTA DE PAJAROS,,
2014,4158,C.T.P. DOS CERCAS,DESAMPARADOS,01,1,03,10,SAN JOSE,DESAMPARADOS,DAMAS,SAN LORENZO,,
2014,5288,LICEO RURAL MANZANILLO,PUNTARENAS,03,6,01,06,PUNTARENAS,PUNTARENAS,MANZANILLO,MANZANILLO,,
2014,6512,LICEO SANTISIMA TRINIDAD,GUAPILES,01,7,02,07,LIMON,POCOCI,LA COLONIA,TORO AMARILLO,,
2014,6527,C.T.P. MAXIMO QUESADA,DESAMPARADOS,01,1,03,07,SAN JOSE,DESAMPARADOS,PATARRA,PATARRA,,
2014,6567,LICEO RURAL LA UNION,GUAPILES,01,7,02,01,LIMON,POCOCI,GUAPILES,LA UNION,,
2014,4118,LICEO DE MIRAMAR,PUNTARENAS,04,6,04,01,PUNTARENAS,MONTES DE ORO,MIRAMAR,MIRAMAR,,
2014,6574,C.T.P. JOSE MARIA ZELEDON BRENES,DESAMPARADOS,02,1,03,02,SAN JOSE,DESAMPARADOS,SAN MIGUEL,EL LLANO,,
2014,4145,LICEO LA RITA,GUAPILES,02,7,02,03,LIMON,POCOCI,RITA,LA RITA,,
2014,6104,C.T.P. JOSE ALBERTAZZI,DESAMPARADOS,02,1,03,13,SAN JOSE,DESAMPARADOS,LOS GUIDO,SECTOR 5,,
2014,6531,C.T.P. DE ASERRI,DESAMPARADOS,03,1,06,07,SAN JOSE,ASERRI,SALITRILLOS,SALITRILLOS,,
2014,6583,C.T.P. BRAULIO ODIO HERRERA,DESAMPARADOS,03,1,06,06,SAN JOSE,ASERRI,MONTERREY,MONTERREY,,
2014,4160,C.T.P. JOSE FIGUERES FERRER,DESAMPARADOS,04,1,03,08,SAN JOSE,DESAMPARADOS,SAN CRISTOBAL,LA LUCHA,,
2014,4138,LICEO DE TICABÁN,GUAPILES,02,7,02,03,LIMON,POCOCI,RITA,BARRIO LA UNION,,
2014,4161,C.T.P. SAN JUAN SUR,DESAMPARADOS,04,3,01,07,CARTAGO,CARTAGO,CORRALILLO,SAN JUAN SUR,,
2014,6028,LICEO AGROPORTICA,GUAPILES,02,7,02,03,LIMON,POCOCI,RITA,ASENTAMIENTO AGROPIO,,
2014,4162,C.T.P. DE ACOSTA,DESAMPARADOS,05,1,12,01,SAN JOSE,ACOSTA,SAN IGNACIO,SAN IGNACIO,,
2014,6582,C.T.P. ROBERTO GAMBOA VALVERDE,DESAMPARADOS,07,1,03,11,SAN JOSE,DESAMPARADOS,SAN RAFAEL ABAJO,SAN RAFAEL ABAJO,,
2014,5289,LICEO RURAL DE CEDRAL,PUNTARENAS,04,6,04,02,PUNTARENAS,MONTES DE ORO,UNION,CEDRAL,,
2014,,COLEGIO MONSERRAT,PUNTARENAS,05,6,01,01,PUNTARENAS,PUNTARENAS,PUNTARENAS,PUNTARENAS,,
2014,4159,C.T.P. MONSEÑOR SANABRIA,DESAMPARADOS,07,1,03,01,SAN JOSE,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,,
2014,4141,LICEO DE CARIARI,GUAPILES,03,7,02,05,LIMON,POCOCI,CARIARI,CAMPO DE ATERRIZAJE,,
2014,5536,COLEGIO BARRA DE COLORADO,GUAPILES,03,7,02,06,LIMON,POCOCI,COLORADO,BARRA COLORADO NORTE,,
2014,4116,LICEO DIURNO JOSE MARTI,PUNTARENAS,05,6,01,01,PUNTARENAS,PUNTARENAS,PUNTARENAS,PUNTARENAS,,
2014,4119,LICEO CHACARITA,PUNTARENAS,05,6,01,12,PUNTARENAS,PUNTARENAS,CHACARITA,CARRIZAL,,
2014,5176,LICEO RURAL BARRA DE TORTUGUERO,GUAPILES,03,7,02,06,LIMON,POCOCI,COLORADO,BARRA TORTUGUERO,,
2014,5717,LICEO LAS PALMITAS,GUAPILES,03,7,02,03,LIMON,POCOCI,RITA,LAS PALMITAS,,
2014,,LABORATORIO DEL C.U.P.,PUNTARENAS,05,6,01,01,PUNTARENAS,PUNTARENAS,PUNTARENAS,PUNTARENAS,,
2014,4158,SECCION NOCTURNA C.T.P. DOS CERCAS,DESAMPARADOS,01,1,03,10,SAN JOSE,DESAMPARADOS,DAMAS,SAN LORENZO,,
2014,,CIENTIFICO DE COSTA RICA DE PUNTARE,PUNTARENAS,05,6,01,01,PUNTARENAS,PUNTARENAS,PUNTARENAS,EL COCAL,,
2014,6000,LICEO CUATRO ESQUINAS,GUAPILES,03,7,02,05,LIMON,POCOCI,CARIARI,CUATRO ESQUINAS,,
2014,6104,SECCION NOCTURNA C.T.P. JOSE ALBERT,DESAMPARADOS,02,1,03,13,SAN JOSE,DESAMPARADOS,LOS GUIDO,LOA GUIDO,,
2014,6146,I.E.G.B. NUESTRA SEÑORA DE SION,PUNTARENAS,05,6,01,01,PUNTARENAS,PUNTARENAS,PUNTARENAS,COCAL PUNTARENAS,,
2014,6632,I.E.G.B. ISLA CABALLO,PUNTARENAS,05,6,01,01,PUNTARENAS,PUNTARENAS,PUNTARENAS,PLAYA CORONADO,,
