year,CODIGO,NOMBRE,REGION,enrolled,passed,pass_rate
2020.0,3957.0,COLEGIO REPUBLICA DE MEXICO,SAN JOSE CENTRAL,481,476,0.9896049896049897
2020.0,3963.0,UNIDAD PEDAGOGICA JOSE FIDEL TRISTAN,SAN JOSE OESTE,622,619,0.9951768488745981
2020.0,3941.0,LICEO DE SAN JOSE,SAN JOSE OESTE,953,863,0.9055613850996852
2020.0,0.0,CATOLICA ACTIVA,SAN JOSE OESTE,214,214,1.0
2020.0,3942.0,LICEO DEL SUR,SAN JOSE CENTRAL,789,761,0.9645120405576679
2020.0,4154.0,C.T.P. DON BOSCO,SAN JOSE CENTRAL,1270,1268,0.9984251968503937
2020.0,0.0,SAGRADO CORAZON,SAN JOSE CENTRAL,297,297,1.0
2020.0,0.0,SEMINARIO,SAN JOSE CENTRAL,317,315,0.9936908517350158
2020.0,3938.0,COLEGIO SUPERIOR DE SEÑORITAS,SAN JOSE CENTRAL,1018,982,0.9646365422396856
2020.0,3940.0,LICEO DE COSTA RICA,SAN JOSE CENTRAL,801,691,0.8626716604244694
2020.0,0.0,SALESIANO DON BOSCO,SAN JOSE CENTRAL,309,309,1.0
2020.0,3970.0,COLEGIO EL ROSARIO,SAN JOSE CENTRAL,333,333,1.0
2020.0,3947.0,LICEO RODRIGO FACIO BRENES,SAN JOSE CENTRAL,707,658,0.9306930693069307
2020.0,3950.0,LICEO DR. JOSE MARIA CASTRO MADRIZ,SAN JOSE CENTRAL,991,939,0.9475277497477296
2020.0,3964.0,LICEO JULIO FONSECA GUTIERREZ,SAN JOSE OESTE,757,474,0.6261558784676354
2020.0,0.0,DR. JAIM WEIZMAN,SAN JOSE OESTE,65,65,1.0
2020.0,0.0,LA SALLE,SAN JOSE OESTE,421,421,1.0
2020.0,0.0,LOS ANGELES,SAN JOSE OESTE,293,293,1.0
2020.0,0.0,YORKIN,SAN JOSE CENTRAL,51,51,1.0
2020.0,4156.0,C.T.P. EDUCACION COMERCIAL Y DE SERVICIOS,SAN JOSE OESTE,499,498,0.9979959919839679
2020.0,3943.0,LICEO LUIS DOBLES SEGREDA,SAN JOSE OESTE,1503,1482,0.9860279441117764
2020.0,0.0,HUMBOLDT,SAN JOSE OESTE,380,364,0.9578947368421052
2020.0,3968.0,LICEO PAVAS,SAN JOSE OESTE,1266,1247,0.9849921011058452
2020.0,0.0,ADVENTISTA DE COSTA RICA,SAN JOSE CENTRAL,348,348,1.0
2020.0,3956.0,LICEO EDGAR CERVANTES VILLALTA,SAN JOSE CENTRAL,1466,1433,0.9774897680763983
2020.0,3948.0,LICEO ROBERTO BRENES MESEN,SAN JOSE CENTRAL,863,547,0.6338354577056778
2020.0,4157.0,C.T.P. SAN SEBASTIAN,SAN JOSE CENTRAL,725,708,0.976551724137931
2020.0,3986.0,LICEO RICARDO FERNANDEZ GUARDIA,SAN JOSE CENTRAL,1076,1075,0.9990706319702602
2020.0,0.0,COUNTRY DAY SCHOOL,ALAJUELA,277,277,1.0
2020.0,0.0,NUESTRA SEÑORA DEL PILAR,SAN JOSE OESTE,264,264,1.0
2020.0,3952.0,LICEO DE ESCAZU,SAN JOSE OESTE,1876,1801,0.9600213219616205
2020.0,5072.0,COLEGIO DE GRAVILIAS,DESAMPARADOS,601,443,0.7371048252911814
2020.0,3983.0,LICEO DE CALLE FALLAS,DESAMPARADOS,1120,1120,1.0
2020.0,3984.0,COLEGIO NUESTRA SEÑORA,DESAMPARADOS,655,655,1.0
2020.0,3982.0,LICEO MONSEÑOR RUBEN ODIO HERRERA,DESAMPARADOS,1528,1522,0.9960732984293194
2020.0,4159.0,C.T.P. MONSEÑOR SANABRIA,DESAMPARADOS,1016,1016,1.0
