year,CODIGO,NOMBRE,REGION,enrolled,passed
2014,3957,UNIDAD PEDAGOGICA COLEGIO REPUBLICA,SAN JOSE CENTRAL,702,467
2014,3963,UNIDAD PEDAGOGICA JOSE FIDEL TRISTA,SAN JOSE OESTE,602,467
2014,3941,LICEO DE SAN JOSE,SAN JOSE OESTE,789,615
2014,,CATOLICA ACTIVA,SAN JOSE OESTE,233,227
2014,3942,LICEO DEL SUR,SAN JOSE CENTRAL,699,503
2014,4154,C.T.P. DON BOSCO,SAN JOSE CENTRAL,1248,1146
2014,,SAGRADO CORAZON,SAN JOSE CENTRAL,300,280
2014,,SEMINARIO,SAN JOSE CENTRAL,309,297
2014,3938,COLEGIO SUPERIOR DE SEÑORITAS,SAN JOSE CENTRAL,991,816
2014,3940,LICEO DE COSTA RICA,SAN JOSE CENTRAL,898,817
2014,,SALESIANO DON BOSCO,SAN JOSE CENTRAL,344,333
2014,3970,COLEGIO EL ROSARIO,SAN JOSE CENTRAL,405,404
2014,3947,LICEO RODRIGO FACIO BRENES,SAN JOSE CENTRAL,943,505
2014,3950,LICEO DR. JOSE MARIA CASTRO MADRIZ,SAN JOSE CENTRAL,1194,843
2014,3964,LICEO JULIO FONSECA GUTIERREZ,SAN JOSE OESTE,686,609
2014,,DR. JAIM WEIZMAN,SAN JOSE OESTE,78,78
2014,,LA SALLE,SAN JOSE OESTE,472,466
2014,,LOS ANGELES,SAN JOSE OESTE,445,431
2014,,YORKIN,SAN JOSE CENTRAL,96,94
2014,4156,C.T.P. EDUCACION COMERCIAL Y DE SER,SAN JOSE OESTE,509,505
2014,3943,LICEO LUIS DOBLES SEGREDA,SAN JOSE OESTE,1642,1056
2014,,BRITANICO DE COSTA RICA,SAN JOSE OESTE,339,335
2014,,HUMBOLDT,SAN JOSE OESTE,337,327
2014,3968,LICEO PAVAS,SAN JOSE OESTE,1186,941
2014,,ADVENTISTA DE COSTA RICA,SAN JOSE CENTRAL,450,285
2014,3956,LICEO EDGAR CERVANTES VILLALTA,SAN JOSE CENTRAL,1510,1190
2014,3948,LICEO ROBERTO BRENES MESEN,SAN JOSE CENTRAL,753,635
2014,4157,C.T.P. SAN SEBASTIAN,SAN JOSE CENTRAL,672,596
2014,3986,LICEO RICARDO FERNANDEZ GUARDIA,SAN JOSE CENTRAL,685,459
2014,,NUESTRA SEÑORA DEL PILAR,SAN JOSE OESTE,374,368
2014,3952,LICEO DE ESCAZU,SAN JOSE OESTE,1638,1134
2014,5072,COLEGIO DE GRAVILIAS,DESAMPARADOS,646,381
2014,3983,LICEO DE CALLE FALLAS,DESAMPARADOS,1005,750
2014,3984,COLEGIO NUESTRA SEÑORA,DESAMPARADOS,571,506
2014,3982,LICEO MONSEÑOR RUBEN ODIO HERRERA,DESAMPARADOS,1609,1151
2014,4159,C.T.P. MONSEÑOR SANABRIA,DESAMPARADOS,1123,1115
2014,3985,LICEO SAN MIGUEL,DESAMPARADOS,1052,684
2014,3988,LICEO SAN ANTONIO,DESAMPARADOS,1360,1130
2014,4160,C.T.P. JOSE FIGUERES FERRER,DESAMPARADOS,831,676
2014,3987,LICEO ROBERTO GAMBOA VALVERDE,DESAMPARADOS,204,88
2014,3997,LICEO DE PURISCAL,PURISCAL,1160,1006
2014,4163,C.T.P. DE PURISCAL,PURISCAL,1355,1158
2014,4165,C.T.P. LA GLORIA,PURISCAL,195,187
2014,4057,LICEO DE TARRAZU,LOS SANTOS,991,921
2014,3989,LICEO DE ASERRI,DESAMPARADOS,1580,705
2014,3991,LICEO SAN GABRIEL DE ASERRI,DESAMPARADOS,786,599
2014,3996,LICEO DIURNO CIUDAD COLON,PURISCAL,703,600
2014,3966,COLEGIO MADRE DEL DIVINO PASTOR,SAN JOSE NORTE,765,624
2014,3945,LICEO NAPOLEON QUESADA SALAZAR,SAN JOSE NORTE,1028,774
2014,4155,C.T.P. CALLE BLANCOS,SAN JOSE NORTE,700,682
2014,,IRIBO,SAN JOSE CENTRAL,93,79
2014,3955,LICEO SALVADOR UMAÑA CASTRO,SAN JOSE NORTE,665,511
2014,3959,LICEO SANTA ANA,SAN JOSE OESTE,1790,1261
