year,CODIGO,NOMBRE_x,REGION_x,enrolled,passed,pass_rate,CURSO LECTIVO,NOMBRE_y,REGION_y,CIRES,PR,CAN,DIS,PROVINCIA,CANTON,DISTRITO,POBLADO,Unnamed: 12,Unnamed: 13
2020.0,3957.0,COLEGIO REPUBLICA DE MEXICO,SAN JOSE CENTRAL,481,476,0.9896049896049895,2014,UNIDAD PEDAGOGICA COLEGIO REPUBLICA,SAN JOSE CENTRAL,2,1,1,1,SAN JOSE,SAN JOSE,CARMEN,ARANJUEZ,,
2020.0,3963.0,UNIDAD PEDAGOGICA JOSE FIDEL TRISTAN,SAN JOSE OESTE,622,619,0.995176848874598,2014,UNIDAD PEDAGOGICA JOSE FIDEL TRISTA,SAN JOSE OESTE,1,1,1,2,SAN JOSE,SAN JOSE,MERCED,PITAHAYA,,
2020.0,3941.0,LICEO DE SAN JOSE,SAN JOSE OESTE,953,863,0.9055613850996852,2014,LICEO DE SAN JOSE,SAN JOSE OESTE,1,1,1,2,SAN JOSE,SAN JOSE,MERCED,BARRIO MEXICO,,
2020.0,3942.0,LICEO DEL SUR,SAN JOSE CENTRAL,789,761,0.964512040557668,2014,LICEO DEL SUR,SAN JOSE CENTRAL,1,1,1,3,SAN JOSE,SAN JOSE,HOSPITAL,BARRIO CUBA,,
2020.0,4154.0,C.T.P. DON BOSCO,SAN JOSE CENTRAL,1270,1268,0.9984251968503935,2014,C.T.P. DON BOSCO,SAN JOSE CENTRAL,6,1,10,4,SAN JOSE,ALAJUELITA,CONCEPCION,CONCEPCION ARRIBA,,
2020.0,3938.0,COLEGIO SUPERIOR DE SEÑORITAS,SAN JOSE CENTRAL,1018,982,0.9646365422396856,2014,COLEGIO SUPERIOR DE SEÑORITAS,SAN JOSE CENTRAL,2,1,1,4,SAN JOSE,SAN JOSE,CATEDRAL,SOLEDAD,,
2020.0,3940.0,LICEO DE COSTA RICA,SAN JOSE CENTRAL,801,691,0.8626716604244694,2014,LICEO DE COSTA RICA,SAN JOSE CENTRAL,2,1,1,4,SAN JOSE,SAN JOSE,CATEDRAL,GONZALEZ VIQUEZ,,
2020.0,3970.0,COLEGIO EL ROSARIO,SAN JOSE CENTRAL,333,333,1.0,2014,COLEGIO EL ROSARIO,SAN JOSE CENTRAL,3,1,1,5,SAN JOSE,SAN JOSE,ZAPOTE,LUJAN,,
2020.0,3947.0,LICEO RODRIGO FACIO BRENES,SAN JOSE CENTRAL,707,658,0.9306930693069309,2014,LICEO RODRIGO FACIO BRENES,SAN JOSE CENTRAL,3,1,1,5,SAN JOSE,SAN JOSE,ZAPOTE,ZAPOTE,,
2020.0,3950.0,LICEO DR. JOSE MARIA CASTRO MADRIZ,SAN JOSE CENTRAL,991,939,0.9475277497477296,2014,LICEO DR. JOSE MARIA CASTRO MADRIZ,SAN JOSE CENTRAL,3,1,1,5,SAN JOSE,SAN JOSE,ZAPOTE,BARRIO CORDOBA,,
2020.0,3964.0,LICEO JULIO FONSECA GUTIERREZ,SAN JOSE OESTE,757,474,0.6261558784676354,2014,LICEO JULIO FONSECA GUTIERREZ,SAN JOSE OESTE,5,1,1,7,SAN JOSE,SAN JOSE,URUCA,LA PEREGRINA,,
2020.0,4156.0,C.T.P. EDUCACION COMERCIAL Y DE SERVICIOS,SAN JOSE OESTE,499,498,0.997995991983968,2014,C.T.P. EDUCACION COMERCIAL Y DE SER,SAN JOSE OESTE,1,1,1,8,SAN JOSE,SAN JOSE,MATA REDONDA,SABANA SUR,,
2020.0,3943.0,LICEO LUIS DOBLES SEGREDA,SAN JOSE OESTE,1503,1482,0.9860279441117764,2014,LICEO LUIS DOBLES SEGREDA,SAN JOSE OESTE,1,1,1,8,SAN JOSE,SAN JOSE,MATA REDONDA,SABANA ESTE,,
2020.0,3968.0,LICEO PAVAS,SAN JOSE OESTE,1266,1247,0.9849921011058452,2014,LICEO PAVAS,SAN JOSE OESTE,2,1,1,9,SAN JOSE,SAN JOSE,PAVAS,PAVAS,,
2020.0,3956.0,LICEO EDGAR CERVANTES VILLALTA,SAN JOSE CENTRAL,1466,1433,0.9774897680763984,2014,LICEO EDGAR CERVANTES VILLALTA,SAN JOSE CENTRAL,5,1,1,10,SAN JOSE,SAN JOSE,HATILLO,HATILLO CENTRO,,
2020.0,3948.0,LICEO ROBERTO BRENES MESEN,SAN JOSE CENTRAL,863,547,0.6338354577056778,2014,LICEO ROBERTO BRENES MESEN,SAN JOSE CENTRAL,5,1,1,10,SAN JOSE,SAN JOSE,HATILLO,HATILLO 2,,
2020.0,4157.0,C.T.P. SAN SEBASTIAN,SAN JOSE CENTRAL,725,708,0.976551724137931,2014,C.T.P. SAN SEBASTIAN,SAN JOSE CENTRAL,1,1,1,11,SAN JOSE,SAN JOSE,SAN SEBASTIAN,COLONIA KENNEDY,,
2020.0,4157.0,SECCION NOCTURNA C.T.P. DE SAN SEBASTIAN,SAN JOSE CENTRAL,193,193,1.0,2014,C.T.P. SAN SEBASTIAN,SAN JOSE CENTRAL,1,1,1,11,SAN JOSE,SAN JOSE,SAN SEBASTIAN,COLONIA KENNEDY,,
2020.0,3986.0,LICEO RICARDO FERNANDEZ GUARDIA,SAN JOSE CENTRAL,1076,1075,0.9990706319702602,2014,LICEO RICARDO FERNANDEZ GUARDIA,SAN JOSE CENTRAL,1,1,1,11,SAN JOSE,SAN JOSE,SAN SEBASTIAN,COLONIA KENNEDY,,
2020.0,3952.0,LICEO DE ESCAZU,SAN JOSE OESTE,1876,1801,0.9600213219616204,2014,LICEO DE ESCAZU,SAN JOSE OESTE,3,1,2,2,SAN JOSE,ESCAZU,SAN ANTONIO,SANTA TERESA,,
2020.0,5072.0,COLEGIO DE GRAVILIAS,DESAMPARADOS,601,443,0.7371048252911814,2014,COLEGIO DE GRAVILIAS,DESAMPARADOS,1,1,3,12,SAN JOSE,DESAMPARADOS,GRAVILIAS,GRAVILIAS,,
2020.0,3983.0,LICEO DE CALLE FALLAS,DESAMPARADOS,1120,1120,1.0,2014,LICEO DE CALLE FALLAS,DESAMPARADOS,7,1,3,1,SAN JOSE,DESAMPARADOS,DESAMPARADOS,CALLE FALLAS,,
2020.0,3984.0,COLEGIO NUESTRA SEÑORA,DESAMPARADOS,655,655,1.0,2014,COLEGIO NUESTRA SEÑORA,DESAMPARADOS,1,1,3,1,SAN JOSE,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,,
2020.0,3982.0,LICEO MONSEÑOR RUBEN ODIO HERRERA,DESAMPARADOS,1528,1522,0.9960732984293194,2014,LICEO MONSEÑOR RUBEN ODIO HERRERA,DESAMPARADOS,7,1,3,1,SAN JOSE,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,,
2020.0,4159.0,C.T.P. MONSEÑOR SANABRIA,DESAMPARADOS,1016,1016,1.0,2014,C.T.P. MONSEÑOR SANABRIA,DESAMPARADOS,7,1,3,1,SAN JOSE,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,,
2020.0,3985.0,LICEO SAN MIGUEL,DESAMPARADOS,1326,1326,1.0,2014,LICEO SAN MIGUEL,DESAMPARADOS,2,1,3,2,SAN JOSE,DESAMPARADOS,SAN MIGUEL,SAN MIGUEL,,
2020.0,3988.0,LICEO SAN ANTONIO,DESAMPARADOS,1278,1246,0.974960876369327,2014,LICEO SAN ANTONIO,DESAMPARADOS,1,1,3,5,SAN JOSE,DESAMPARADOS,SAN ANTONIO,SAN ANTONIO,,
2020.0,4160.0,C.T.P. JOSE FIGUERES FERRER,DESAMPARADOS,932,919,0.9860515021459229,2014,C.T.P. JOSE FIGUERES FERRER,DESAMPARADOS,4,1,3,8,SAN JOSE,DESAMPARADOS,SAN CRISTOBAL,LA LUCHA,,
2020.0,4160.0,SECCION NOCTURNA C.T.P. JOSE FIGUERES FERRER,DESAMPARADOS,233,233,1.0,2014,C.T.P. JOSE FIGUERES FERRER,DESAMPARADOS,4,1,3,8,SAN JOSE,DESAMPARADOS,SAN CRISTOBAL,LA LUCHA,,
2020.0,3997.0,LICEO DE PURISCAL,PURISCAL,853,837,0.981242672919109,2014,LICEO DE PURISCAL,PURISCAL,1,1,4,1,SAN JOSE,PURISCAL,SANTIAGO,SANTIAGO,,
2020.0,4163.0,C.T.P. DE PURISCAL,PURISCAL,1421,1415,0.995777621393385,2014,C.T.P. DE PURISCAL,PURISCAL,1,1,4,1,SAN JOSE,PURISCAL,SANTIAGO,BARRIO CORAZON DE MA,,
2020.0,4163.0,SECCION NOCTURNA C.T.P. DE PURISCAL,PURISCAL,217,214,0.9861751152073732,2014,C.T.P. DE PURISCAL,PURISCAL,1,1,4,1,SAN JOSE,PURISCAL,SANTIAGO,BARRIO CORAZON DE MA,,
2020.0,4165.0,C.T.P. LA GLORIA,PURISCAL,178,178,1.0,2014,C.T.P. LA GLORIA,PURISCAL,3,1,4,9,SAN JOSE,PURISCAL,CHIRES,CRISTO REY,,
