school_id,latitude,longitude
94,9.27163,-82.28772
95,9.28129,-82.26763
96,9.15,-82.18333
97,9.18339,-82.18807
98,9.19344,-82.22679
99,9.42334,-82.32114
100,9.23787,-82.28636
101,9.31606,-82.1565
102,9.12788,-82.39666
104,9.15515,-82.31791
105,9.16371,-82.34268
107,9.17396,-82.30815
108,9.16559,-82.2966
109,9.16667,-82.21667
115,9.423635,-82.472048
116,9.13737,-82.376
117,9.14395,-82.35776
126,9.23732,-82.26382
128,9.39488,-82.27139
130,9.20137,-82.27592
141,9.21743,-82.40834
142,9.24342,-82.46306
154,9.35,-82.2
155,9.3,-82.1
172,9.14124,-82.12696
173,9.33062,-82.2203
174,9.1913,-82.15061
175,9.15037,-82.05546
176,9.17471,-82.08041
177,9.1913,-82.15061
232,9.29953,-82.54478
233,8.927515,-82.122546
234,9.2897,-82.57493
235,9.475936,-82.509403
236,9.475936,-82.509403
238,9.21012,-82.36081
239,9.31295,-82.60246
241,9.09646,-82.52794
242,9.1187,-82.3003
243,9.43287,-82.68948
244,9.41745,-82.65419
245,9.36398,-82.47433
247,9.36667,-82.55
248,9.38488,-82.43975
249,9.42092,-82.57424
250,9.467843,-82.539615
251,9.33333,-82.53333
255,9.36359,-82.48371
257,9.37001,-82.53583
258,9.38661,-82.56507
259,9.35549,-82.59106
261,9.3,-82.53333
262,9.404936,-82.501341
264,9.475936,-82.509403
265,9.475936,-82.509403
266,9.47231,-82.48124
267,9.334241,-82.483883
268,9.60821,-82.83941
269,9.35166,-82.4378
273,9.36809,-82.51684
274,9.413514,-82.479881
275,9.475936,-82.509403
276,9.404936,-82.501341
277,9.42092,-82.57424
281,9.3,-82.4
283,9.2408,-82.40347
284,9.34172,-82.45076
285,9.0841,-82.48013
286,9.20488,-82.38476
287,8.91667,-82.18333
288,9.404936,-82.501341
289,9.24437,-82.37877
296,9.0977,-82.39211
297,9.24437,-82.37877
298,9.24381,-82.38944
299,9.25575,-82.41624
300,9.28078,-82.41133
301,9.24875,-82.40548
302,9.21012,-82.36081
303,9.21012,-82.36081
305,9.35166,-82.4378
307,9.404936,-82.501341
308,9.32168,-82.45459
309,9.2931,-82.45908
310,9.35166,-82.4378
312,9.5716,-82.88028
313,9.52757,-82.73344
314,9.51647,-82.59296
315,9.55152,-82.77092
316,9.54081,-82.58858
317,9.475936,-82.509403
320,9.49583,-82.70261
321,9.404936,-82.501341
322,9.52045,-82.70618
325,9.475936,-82.509403
326,9.51667,-82.7
328,9.28191,-82.50815
339,9.404936,-82.501341
342,9.56667,-82.75
343,9.525459,-82.714782
344,9.51737,-82.74546
345,9.51098,-82.80599
346,9.56667,-82.75
347,9.5716,-82.88028
349,9.43287,-82.68948
350,8.927515,-82.122546
352,9.43287,-82.68948
353,9.43561,-82.6559
354,9.46498,-82.54475
355,9.43287,-82.68948
362,9.21012,-82.36081
366,9.43333,-82.51667
367,9.22963,-82.50295
369,9.2316,-82.48704
374,9.52745,-82.71801
375,9.23787,-82.28636
384,9.01128,-82.2714
393,8.92046,-82.1806
395,8.93743,-82.13059
396,8.91667,-82.18333
403,8.945618,-82.115374
406,8.98677,-82.14181
407,8.97805,-82.21438
420,8.98677,-82.14181
449,9.14695,-82.39847
463,9.367547,-82.66515
464,9.15,-82.3
465,8.99482,-82.24147
467,9.38488,-82.43975
468,9.01793,-82.28231
471,9.38488,-82.43975
474,9.13818,-82.34239
476,9.03631,-82.24952
478,9.1187,-82.3003
479,9.04298,-82.28177
498,9.26365,-82.43354
523,9.12196,-82.29779
1888,9.26365,-82.43354
5318,8.98432,-82.48796
5319,8.93559,-82.38331
5320,9.404936,-82.501341
5323,9.404936,-82.501341
5324,9.404936,-82.501341
5326,8.927515,-82.122546
5561,9.28764,-82.43673
5563,9.16374,-82.31267
5564,9.475936,-82.509403
5776,9.467843,-82.539615
5778,9.340267,-82.242693
5780,9.339372,-82.242677
5783,9.439643,-82.520131
5784,9.293282,-82.394127
5849,9.27146,-82.50227
5850,8.39012,-81.69884
5860,9.19208,-82.18964
5864,9.11759,-82.35352
5868,9.23519,-82.41227
5869,9.31667,-82.55
5870,9.45364,-82.47252
5874,9.33799,-82.55075
5975,9.467843,-82.539615
6349,9.18056,-82.1534
6350,9.33534,-82.17501
6351,9.18476,-82.38437
6352,9.55026,-82.75033
6764,9.42246,-82.4749
6783,9.55359,-82.75463
6895,9.290029,-82.404404
6896,9.467843,-82.539615
558,8.247177,-80.53996
560,8.239158,-80.553799
561,8.16667,-80.61667
562,8.64349,-80.33898
563,8.27527,-80.70128
565,8.27088,-80.64176
566,8.72207,-80.22276
567,8.31044,-80.68461
568,8.38333,-80.16667
569,8.3,-80.61667
570,8.55902,-80.30448
576,8.372987,-80.262637
579,8.21054,-80.63837
582,8.63333,-80.4
583,8.170053,-80.635977
584,8.23884,-80.57925
585,8.504585,-80.353276
586,8.372987,-80.262637
594,8.37057,-80.25497
595,8.393565,-80.264853
607,8.695062,-80.222863
608,8.46329,-80.26028
609,8.6,-80.45
610,8.56827,-80.52567
611,8.33333,-80.55
612,8.54703,-80.16756
613,8.54703,-80.16756
614,8.55,-80.11667
615,8.16667,-80.61667
619,8.38671,-80.20231
620,8.61667,-80.46667
621,8.43333,-80.06667
622,8.48014,-80.15426
624,8.16667,-80.61667
625,8.593725,-80.175062
630,8.372987,-80.262637
632,8.63333,-80.4
634,8.46667,-80.28333
636,8.372987,-80.262637
637,8.6,-80.45
638,8.39898,-80.15731
645,8.38333,-80.11667
646,8.40302,-80.08262
647,8.76667,-80.45
648,8.62359,-80.57353
649,8.56667,-80.11667
650,8.42359,-80.06795
651,8.593725,-80.175062
652,8.6,-80.45
654,8.63333,-80.43333
661,8.39898,-80.15731
662,8.61667,-80.4
663,8.16667,-80.61667
664,8.54343,-80.19769
665,8.39898,-80.15731
670,8.49307,-80.18298
671,8.56667,-80.48333
672,8.5,-80.16667
673,8.40651,-80.43609
675,8.55083,-80.44082
684,8.258615,-80.549701
685,8.54332,-80.46633
686,8.6,-80.5
687,8.592131,-80.444773
688,8.56667,-80.41667
689,8.58333,-80.5
690,8.62359,-80.57353
691,8.5947,-80.66788
692,8.73333,-80.66667
693,8.87706,-80.17369
695,8.6,-80.45
696,8.59455,-80.55878
697,8.6,-80.45
698,8.55,-80.21667
699,8.58899,-80.63792
705,8.58333,-80.7
706,8.612951,-80.117843
707,8.46667,-80.28333
708,8.6,-80.61667
709,8.5828,-80.60796
710,8.510097,-80.359672
712,8.64363,-80.58914
713,8.54982,-80.50142
714,8.57644,-80.51397
715,8.56884,-80.31917
717,8.59292,-80.54304
719,8.61379,-80.65148
720,8.81667,-80.51667
721,8.43333,-80.08333
722,8.76242,-80.51034
723,8.71667,-80.18333
724,8.66085,-80.38998
725,8.16667,-80.61667
727,8.5,-80.2
728,8.6,-80.11667
729,8.66447,-80.46503
731,8.7,-80.3
732,8.63183,-80.41433
735,8.49307,-80.18298
736,8.43333,-80.06667
737,8.66667,-80.63333
738,8.83333,-80.48333
739,8.41516,-80.34118
