COD. COLEGIO, REGIONAL, PROVINCIA, DISTRITO, CORREGIMIENTO, NOMBRE COLEGIO,ÁREA,PROGRAMAS, TIPO,total_passed,total_failed,total_deserted,pass_percent
93,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,ESC. BILINGÜE REPUBLICA DE NICARAGUA,URBANA,PRIMARIA UNIGRADO,OFICIAL,871,18,28,0.949836423
94,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,VALLE ESCONDIDO,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,57,5,3,0.876923077
95,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,SAN CRISTÓBAL,INDÍGENA,PRIMARIA TELEBASICA,OFICIAL,155,9,0,0.945121951
96,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,LOMA PARTIDA,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,52,4,0,0.928571429
97,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,CERRO BRUJO,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,35,5,0,0.875
98,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,BUENA ESPERANZA,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,36,6,0,0.857142857
99,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,BOCA DEL DRAGO,RURAL,PRIMARIA UNIGRADO,OFICIAL,78,7,0,0.917647059
100,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,BAHÍA GRANDE,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,34,3,0,0.918918919
101,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,BASTIMENTO,BAHÍA HONDA,RURAL,PRIMARIA MULTIGRADO,OFICIAL,55,7,0,0.887096774
102,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO,QUEBRADA HUACA,RURAL,PRIMARIA MULTIGRADO,OFICIAL,43,0,0,1
104,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO,LOS HIGUERONES,RURAL,PRIMARIA MULTIGRADO,OFICIAL,91,2,2,0.957894737
105,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO,LOMA AZUL,RURAL,PRIMARIA MULTIGRADO,OFICIAL,136,16,0,0.894736842
107,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO,LOMA ESTRELLA,RURAL,PRIMARIA MULTIGRADO,OFICIAL,137,5,3,0.944827586
108,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO,CAUCHERO ARRIBA,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,46,10,0,0.821428571
109,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,AGUACATE,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,25,1,0,0.961538462
115,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,LUIS FLORES,RURAL,PRIMARIA MULTIGRADO,OFICIAL,19,1,2,0.863636364
116,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO,QUEBRADA PLÁTANO,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,54,2,3,0.915254237
117,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO,QUEBRADA PINZÓN,RURAL,PRIMARIA MULTIGRADO,OFICIAL,90,0,0,1
125,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO,ARCELIO FITGERALD,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,29,0,0,1
126,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,BOCATORITO,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,30,3,0,0.909090909
127,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,CARENERO,URBANA,PRIMARIA UNIGRADO,OFICIAL,127,7,0,0.947761194
128,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,COLONIA SANTEÑA,RURAL,PRIMARIA MULTIGRADO,OFICIAL,21,0,0,1
130,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,TIERRA OSCURA,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,60,13,3,0.789473684
131,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,SECRETARIO,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,98,8,2,0.907407407
139,BOCAS DEL TORO,BOCAS DEL TORO,ALMIRANTE,VALLE DE RISCÓ,ORIENTE DE RISCO,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,121,8,1,0.930769231
141,BOCAS DEL TORO,BOCAS DEL TORO,ALMIRANTE,VALLE DE RISCÓ,QUEBRADA PITA,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,27,2,0,0.931034483
142,BOCAS DEL TORO,BOCAS DEL TORO,ALMIRANTE,VALLE DE RISCÓ,SOLEDAD DE RISCO,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,84,18,7,0.770642202
154,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,BASTIMENTO,BASTIMENTOS,RURAL,PRIMARIA TELEBASICA,OFICIAL,101,7,0,0.935185185
155,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,BASTIMENTO,QUEBRADA SAL,INDÍGENA,PRIMARIA UNIGRADO,OFICIAL,115,23,2,0.821428571
172,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,PUNTA LAUREL,PUNTA LAUREL,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,11,0,0,1
173,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,BASTIMENTO,SOLARTE,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,41,3,2,0.891304348
174,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,PUNTA LAUREL,ISLA POPA N°2,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,57,8,0,0.876923077
175,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,PUNTA LAUREL,CAYO DE AGUA,INDÍGENA,PRIMARIA UNIGRADO,OFICIAL,111,3,0,0.973684211
176,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,PUNTA LAUREL,ISLA TIGRE,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,110,24,4,0.797101449
177,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO,PUNTA LAUREL,ISLA POPA N°1,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,69,1,1,0.971830986
208,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,CHANGUINOLA,ESCUELA BILINGÜE FINCA 32,URBANA,PRIMARIA UNIGRADO,OFICIAL,773,68,0,0.919143876
231,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,CHANGUINOLA,C.E.B.G. BILINGÜE FINCA 62,URBANA,PRIMARIA UNIGRADO,OFICIAL,447,39,4,0.912244898
232,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,COCHIGRÓ,QUEBRADA GUABO,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,84,6,1,0.923076923
233,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,COCHIGRÓ,ALTO PITA,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,13,0,0,1
234,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,COCHIGRÓ,QUEBRADA PUERCO,RURAL,PRIMARIA MULTIGRADO,OFICIAL,35,0,0,1
235,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,EL EMPALME,FINCA 15,URBANA,PRIMARIA UNIGRADO,OFICIAL,618,22,0,0.965625
236,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,CHANGUINOLA,FINCA 66,URBANA,PRIMARIA UNIGRADO,OFICIAL,414,19,17,0.92
238,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,COCHIGRÓ,QUEBRADA COCHIGRÓ,RURAL,PRIMARIA MULTIGRADO,OFICIAL,49,18,0,0.731343284
239,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,COCHIGRÓ,BUENA SELVA,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,36,2,0,0.947368421
240,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,GUABITO,FINCA 41 ANEXA GUABITO,RURAL,PRIMARIA UNIGRADO,OFICIAL,92,9,1,0.901960784
241,BOCAS DEL TORO,BOCAS DEL TORO,ALMIRANTE,NANCE DE RISCO,BAJO CULUBRE,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,133,13,2,0.898648649
242,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,EL TERIBE,BAJO SORI,RURAL,PRIMARIA MULTIGRADO,OFICIAL,50,3,0,0.943396226
243,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,GUABITO,SAN SAN MONA,INDÍGENA,PRIMARIA MULTIGRADO,OFICIAL,62,5,0,0.925373134
244,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,TERIBE,LOMA BANDERA,RURAL,PRIMARIA MULTIGRADO,OFICIAL,6,0,1,0.857142857
245,BOCAS DEL TORO,BOCAS DEL TORO,CHANGUINOLA,LA GLORIA,LOMA MULETO,RURAL,PRIMARIA MULTIGRADO,OFICIAL,132,11,0,0.923076923
